0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	1	1	1	1	1	1	1	1	1	1
1	2	3	4	5	6	7	8	9	10	1	2	3	4	5	6	7	8	9	10	1	2	3	4	5	6	7	8	9	10	1	2	3	4	5	6	7	8	9	10	1	2	3	4	5	6	7	8	9	10	1	2	3	4	5	6	7	8	9	10	1	2	3	4	5	6	7	8	9	10	1	2	3	4	5	6	7	8	9	10	1	2	3	4	5	6	7	8	9	10	1	2	3	4	5	6	7	8	9	10	1	2	3	4	5	6	7	8	9	10
190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190	190
0.04	0.025	0.033333333	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.02	0.0125	0.0125	0.0125	0.0125	0.025	0.025	0.025	0.025	0.025	0.01	0.0125	0.0125	0.0125	0.0125	0.0125	0.0125	0.0125	0.0125	0.0125	0.01	0.005	0.00625	0.0125	0.00625	0.0125	0.0125	0.0125	0.0125	0.0125	0.01	0.005	0.00625	0.00625	0.00625	0.0125	0.0125	0.0125	0.0125	0.0125	0.005	0.005	0.00625	0.00625	0.00625	0.0125	0.0125	0.0125	0.0125	0.0125	0.004166667	0.005	0.00625	0.00625	0.00625	0.0125	0.0125	0.0125	0.0125	0.0125	0.004166667	0.005	0.00625	0.00625	0.00625	0.00625	0.0125	0.0125	0.0125	0.0125	0.004166667	0.005	0.003125	0.00625	0.003125	0.00625	0.00625	0.0125	0.0125	0.0125	0.003125	0.005	0.003125	0.00625	0.003125	0.00625	0.00625	0.00625	0.0125	0.0125	0.003125	0.005	0.003125	0.00625	0.003125	0.00625	0.00625	0.00625	0.00625	0.0125
7.1	4	3.2	2.8	2.8	2.8	2.8	2.8	2.8	2.8	7.1	4	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	7.1	4	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	7.1	3.5	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	7.1	3.5	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	5	3.5	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	4.5	3.5	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	4.5	3.5	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	4.5	3.5	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	4	3.5	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	4	3.5	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8
1600	800	400	400	400	400	400	400	400	400	3200	1600	800	800	800	400	400	400	400	400	6400	1600	800	800	800	800	800	800	800	800	6400	3200	1600	800	1600	800	800	800	800	800	6400	3200	1600	1600	1600	800	800	800	800	800	6400	3200	1600	1600	1600	800	800	800	800	800	6400	3200	1600	1600	1600	800	800	800	800	800	6400	3200	1600	1600	1600	1600	800	800	800	800	6400	3200	3200	1600	3200	1600	1600	800	800	800	6400	3200	3200	1600	3200	1600	1600	1600	800	800	6400	3200	3200	1600	3200	1600	1600	1600	1600	800
1.92	3.84	3.84	3.84	3.84	3.84	3.84	3.84	3.84	3.84	1.92	2.688	3.84	3.84	3.84	3.84	3.84	3.84	3.84	3.84	1.92	2.688	3.84	3.84	3.84	3.84	3.84	3.84	3.84	3.84	1.92	1.92	2.688	3.84	1.92	3.84	3.84	3.84	3.84	3.84	1.92	1.92	2.688	2.688	1.92	3.84	3.84	3.84	3.84	3.84	1.92	1.92	2.688	2.688	1.92	3.84	3.84	3.84	3.84	3.84	1.92	1.92	2.688	2.688	1.92	3.84	3.84	3.84	3.84	3.84	1.92	1.92	2.688	2.688	1.92	2.688	3.84	3.84	3.84	3.84	1.92	1.92	1.92	2.688	1.92	2.688	2.688	3.84	3.84	3.84	1.92	1.92	1.92	2.688	1.92	2.688	2.688	2.688	3.84	3.84	1.92	1.92	1.92	2.688	1.92	2.688	2.688	2.688	2.688	3.84
0.439073591	0.500609358	0.589067131	0.866314243	1.986397676	2.756039042	3.559771174	4.380196466	5.210049785	6.041110925	0.714760283	0.791127296	0.823681761	1.055405669	2.114559348	2.851133526	3.633963099	4.441012011	5.26009186	6.086877469	0.984750072	0.97483935	1.001296698	1.197298711	2.20747709	2.948511161	3.737908899	4.551817829	5.378404666	6.213099041	1.138307808	1.059665442	1.199136033	1.401766452	2.262029536	3.059730372	3.827057382	4.624393276	5.440896151	6.26856728	1.323848626	1.111159734	1.280482114	1.593468824	2.317971435	3.208046657	3.945980924	4.724371368	5.526374006	6.34273941	1.441768501	1.17462993	1.37742044	1.671696879	2.381862485	3.39068899	4.096337317	4.85105305	5.633326206	6.435295071	1.513161719	1.24708319	1.487751791	1.762162247	2.451342437	3.60027267	4.270964545	4.999070907	5.76271437	6.549050867	1.57532698	1.328198918	1.609514264	1.864375549	2.524376973	3.721383794	4.470125566	5.169311744	5.910685128	6.679167114	1.644309371	1.416171599	1.696503288	1.975564234	2.583924571	3.788743671	4.592077595	5.359415024	6.079091743	6.828197415	1.719184336	1.509288403	1.733848153	2.095509114	2.60576362	3.862123228	4.654142759	5.489524192	6.261256521	6.992922877	1.764835526	1.607219069	1.774651035	2.221567964	2.630009983	3.944237277	4.721690325	5.545654116	6.394261879	7.172576809
