0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	1	1	1	1	1	1	1	1	1	1
1	2	3	4	5	6	7	8	9	10	1	2	3	4	5	6	7	8	9	10	1	2	3	4	5	6	7	8	9	10	1	2	3	4	5	6	7	8	9	10	1	2	3	4	5	6	7	8	9	10	1	2	3	4	5	6	7	8	9	10	1	2	3	4	5	6	7	8	9	10	1	2	3	4	5	6	7	8	9	10	1	2	3	4	5	6	7	8	9	10	1	2	3	4	5	6	7	8	9	10	1	2	3	4	5	6	7	8	9	10
200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200
0.04	0.025	0.033333333	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.02	0.0125	0.0125	0.0125	0.025	0.025	0.025	0.025	0.025	0.025	0.01	0.0125	0.0125	0.0125	0.0125	0.0125	0.0125	0.0125	0.0125	0.025	0.01	0.005	0.00625	0.0125	0.00625	0.0125	0.0125	0.0125	0.0125	0.0125	0.01	0.005	0.00625	0.00625	0.00625	0.0125	0.0125	0.0125	0.0125	0.0125	0.005	0.005	0.00625	0.00625	0.00625	0.0125	0.0125	0.0125	0.0125	0.0125	0.004166667	0.005	0.00625	0.00625	0.00625	0.0125	0.0125	0.0125	0.0125	0.0125	0.004166667	0.005	0.00625	0.00625	0.00625	0.00625	0.0125	0.0125	0.0125	0.0125	0.004166667	0.005	0.003125	0.003125	0.003125	0.00625	0.00625	0.0125	0.0125	0.0125	0.004166667	0.005	0.003125	0.003125	0.003125	0.00625	0.00625	0.00625	0.0125	0.0125	0.003125	0.005	0.003125	0.00625	0.003125	0.00625	0.00625	0.00625	0.00625	0.0125
7.1	4	3.2	2.8	2.8	2.8	2.8	2.8	2.8	2.8	7.1	4	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	7.1	4	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	7.1	3.5	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	7.1	3.5	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	5	3.5	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	4.5	3.5	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	4.5	3.5	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	4.5	3.5	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	4.5	3.5	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	4	3.5	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8
1600	800	400	400	400	400	400	400	400	400	3200	1600	800	800	400	400	400	400	400	400	6400	1600	800	800	800	800	800	800	800	400	6400	3200	1600	800	1600	800	800	800	800	800	6400	3200	1600	1600	1600	800	800	800	800	800	6400	3200	1600	1600	1600	800	800	800	800	800	6400	3200	1600	1600	1600	800	800	800	800	800	6400	3200	1600	1600	1600	1600	800	800	800	800	6400	3200	3200	1600	3200	1600	1600	800	800	800	6400	3200	3200	3200	3200	1600	1600	1600	800	800	6400	3200	3200	1600	3200	1600	1600	1600	1600	800
1.92	3.84	3.84	3.84	3.84	3.84	3.84	3.84	3.84	3.84	1.92	2.688	3.84	3.84	3.84	3.84	3.84	3.84	3.84	3.84	1.92	2.688	3.84	3.84	3.84	3.84	3.84	3.84	3.84	3.84	1.92	1.92	2.688	3.84	1.92	3.84	3.84	3.84	3.84	3.84	1.92	1.92	2.688	2.688	1.92	3.84	3.84	3.84	3.84	3.84	1.92	1.92	2.688	2.688	1.92	3.84	3.84	3.84	3.84	3.84	1.92	1.92	2.688	2.688	1.92	3.84	3.84	3.84	3.84	3.84	1.92	1.92	2.688	2.688	1.92	2.688	3.84	3.84	3.84	3.84	1.92	1.92	1.92	2.688	1.92	2.688	2.688	3.84	3.84	3.84	1.92	1.92	1.92	2.688	1.92	2.688	2.688	2.688	3.84	3.84	1.92	1.92	1.92	2.688	1.92	2.688	2.688	2.688	2.688	3.84
0.439384607	0.502339209	0.590790463	0.867061801	1.986518889	2.756470502	3.559902669	4.379419676	5.209763491	6.044069483	0.71587099	0.793332934	0.826070675	1.058417513	2.116874917	2.851467848	3.634700084	4.441076543	5.260153977	6.085766567	0.992822776	0.977039348	1.003402234	1.199704789	2.20994087	2.951088145	3.742806863	4.555810161	5.382565439	6.21701252	1.145221854	1.06211019	1.201966579	1.404434449	2.263267596	3.062721207	3.830023762	4.628132462	5.444828894	6.271682773	1.329582697	1.113938525	1.283288546	1.597679712	2.318952871	3.211340568	3.950038097	4.727722294	5.529222805	6.345006237	1.448125263	1.17673407	1.379956051	1.675672365	2.382789499	3.393222525	4.098776031	4.851266239	5.637485335	6.43853953	1.519060819	1.249514712	1.490773187	1.766351002	2.452172423	3.602327471	4.274501236	5.002276884	5.766608603	6.552210319	1.581088617	1.330546016	1.612015769	1.867967637	2.525080028	3.726177356	4.473064214	5.172325787	5.915025883	6.683037139	1.649834292	1.418331553	1.701521528	1.979674089	2.591263528	3.793002928	4.597337969	5.362767101	6.082730226	6.83248795	1.724271219	1.51120824	1.738355172	2.098565145	2.613347892	3.866980379	4.659501618	5.493774098	6.264378944	6.99620254	1.770644844	1.608833861	1.779133939	2.224594744	2.637227488	3.94812685	4.725823598	5.550754169	6.400328822	7.175918956
