0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	1	1	1	1	1	1	1	1	1	1
1	2	3	4	5	6	7	8	9	10	1	2	3	4	5	6	7	8	9	10	1	2	3	4	5	6	7	8	9	10	1	2	3	4	5	6	7	8	9	10	1	2	3	4	5	6	7	8	9	10	1	2	3	4	5	6	7	8	9	10	1	2	3	4	5	6	7	8	9	10	1	2	3	4	5	6	7	8	9	10	1	2	3	4	5	6	7	8	9	10	1	2	3	4	5	6	7	8	9	10	1	2	3	4	5	6	7	8	9	10
30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30
0.04	0.033333333	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.033333333	0.033333333	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.02	0.016666667	0.02	0.02	0.02	0.04	0.04	0.04	0.04	0.04	0.0125	0.016666667	0.02	0.02	0.02	0.02	0.04	0.04	0.04	0.04	0.0125	0.016666667	0.02	0.02	0.02	0.02	0.02	0.02	0.04	0.04	0.01	0.016666667	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.0125	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02
5.6	3.5	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	5	3.5	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	4	3.5	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	3.2	3.5	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	3.2	3.5	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	3.5	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	3.2	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8
6400	3200	1600	1600	1600	1600	1600	1600	1600	1600	6400	3200	1600	1600	1600	1600	1600	1600	1600	1600	6400	6400	3200	3200	3200	1600	1600	1600	1600	1600	6400	6400	3200	3200	3200	3200	1600	1600	1600	1600	6400	6400	3200	3200	3200	3200	3200	3200	1600	1600	6400	6400	6400	3200	3200	3200	3200	3200	3200	3200	6400	6400	6400	6400	3200	3200	3200	3200	3200	3200	6400	6400	6400	6400	3200	3200	3200	3200	3200	3200	6400	6400	6400	6400	6400	3200	3200	3200	3200	3200	6400	6400	6400	6400	6400	6400	3200	3200	3200	3200	6400	6400	6400	6400	6400	6400	3200	3200	3200	3200
1.92	1.92	2.688	2.688	1.92	2.688	2.688	2.688	2.688	2.688	1.92	1.92	2.688	2.688	1.92	2.688	2.688	2.688	2.688	2.688	1.92	1.92	1.92	1.92	1.92	2.688	2.688	2.688	2.688	2.688	1.92	1.92	1.92	1.92	1.92	1.92	2.688	2.688	2.688	2.688	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	2.688	2.688	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	2.688	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92
1.150416297	0.971853491	1.075015398	1.430068031	2.177921919	3.489504135	4.34804186	5.229684515	6.121597381	7.019475174	1.547205396	1.288352747	1.532486376	1.797630931	2.479657528	3.680397305	4.502096124	5.359933812	6.232334329	7.117692544	1.90329925	1.749238246	1.89893218	2.33062968	2.699867941	4.20041748	4.936001625	5.728379274	6.552540388	7.39804707	2.182064277	1.987552947	2.268309195	2.635192431	2.936895433	4.784398513	5.585600292	6.296617127	7.053500365	7.848257962	2.386947345	2.279518358	2.700972763	3.014108553	3.239082891	5.027599362	5.914392349	6.834969317	7.7035503	8.435040036	2.600333731	2.608656338	2.990013983	3.440072685	3.591182025	5.325055658	6.168577387	7.0577334	7.977548974	8.920459342	2.774083684	2.891578125	3.127485149	3.89032309	3.980232825	5.667482367	6.464794045	7.318339984	8.20749914	9.128321388	2.968775242	3.077360413	3.284465787	4.016788221	4.394512452	6.04684028	6.799314692	7.614000454	8.475809676	9.367878578	3.17608913	3.279421608	3.455213565	4.156611294	4.658887891	6.456480599	7.166487757	7.943900904	8.772675352	9.636958165	3.186135408	3.493031414	3.638965238	4.310218618	4.778173297	6.883834633	7.562002464	8.301071404	9.09785781	9.935999475	3.198301305	3.717853748	3.835170495	4.473344214	4.910834947	6.999522318	7.980709686	8.685521867	9.447058223	10.25357707
