0.501010445	0.72003707	0.755762804	1.005377055	2.085896726	2.859803836	3.670428471	4.496971532	5.332745973	6.175702818
0.992375192	0.976996122	1.003395167	1.199809148	2.210213061	2.950598621	3.741346946	4.555977314	5.382430509	6.218807649
1.329619256	1.113723448	1.283210976	1.597498022	2.318839033	3.211189537	3.949849923	4.727043704	5.529459507	6.345725214
1.518733136	1.249522092	1.49054378	1.766305674	2.452378269	3.602686103	4.273860156	5.002734046	5.766053973	6.553515141
1.649749271	1.417852113	1.701371743	1.97931929	2.591634042	3.793245883	4.598314687	5.362705776	6.082561036	6.831334166
1.770298264	1.609107214	1.779051074	2.224713047	2.636823603	3.947834921	4.726549868	5.551474044	6.401833067	7.174632084
1.870562238	1.805541616	1.86902557	2.312026278	2.691845229	4.130018671	4.879648507	5.681764836	6.514396211	7.368889065
1.977518226	1.862512881	1.970082	2.394174386	2.753842755	4.334647346	5.054785149	5.832979778	6.64624155	7.483237267
2.057404651	1.92660932	2.081113634	2.484604644	2.824277762	4.558335648	5.248743745	6.002402761	6.795637274	7.617283709
2.143302701	1.995838805	2.20063481	2.584078908	2.902003504	4.762654177	5.458981355	6.187490408	6.962459563	7.764040459
2.222731218	2.070024849	2.327145596	2.691234112	2.985173356	4.828520809	5.687206368	6.390217981	7.139797617	7.925169492

